Date,HomeTeam,AwayTeam,B365H,B365D,B365A,B365>2.5,B365<2.5,AHh,B365AHH,B365AHA,HTHG,HTAG,HTR,HF,AF,HY,AY,HR,AR,Time,FTR,Season
2022-09-04,Verona,Sampdoria,2.05,3.6,3.6,1.93,1.97,-0.5,2.06,1.84,2,1,H,16,11,2,2,0,0,17:00,H,2022/2023
2022-09-04,Udinese,Roma,4.2,3.75,1.85,1.86,2.04,0.5,1.95,1.95,1,0,H,16,13,3,2,0,0,19:45,H,2022/2023
2022-09-05,Monza,Atalanta,5.75,4.2,1.57,1.66,2.2,1.0,1.9,2.0,0,0,D,9,10,1,1,0,0,17:30,A,2022/2023
2022-09-05,Salernitana,Empoli,2.25,3.4,3.2,1.94,1.96,-0.25,1.95,1.95,1,1,D,7,9,3,2,0,0,17:30,D,2022/2023
2022-09-05,Torino,Lecce,1.7,3.75,5.25,1.9,2.0,-0.75,1.94,1.96,1,0,H,16,8,2,1,0,0,19:45,H,2022/2023
2022-09-10,Napoli,Spezia,1.25,6.0,11.0,1.5,2.62,-1.75,1.91,1.99,0,0,D,6,14,1,2,0,0,14:00,H,2022/2023
2022-09-10,Inter,Torino,1.45,4.75,7.0,1.66,2.2,-1.25,1.99,1.91,0,0,D,8,17,1,2,0,0,17:00,H,2022/2023
2022-09-10,Sampdoria,Milan,6.0,4.5,1.5,1.72,2.1,1.0,2.0,1.9,0,1,A,12,10,5,2,0,1,19:45,A,2022/2023
2022-09-11,Atalanta,Cremonese,1.3,5.5,9.5,1.57,2.37,-1.5,1.95,1.95,0,0,D,9,17,2,5,0,0,11:30,D,2022/2023
2022-09-11,Bologna,Fiorentina,2.9,3.4,2.45,1.96,1.94,0.25,1.79,2.11,0,0,D,8,13,1,4,0,1,14:00,H,2022/2023
2022-09-11,Lecce,Monza,2.25,3.4,3.2,2.02,1.88,-0.25,1.99,1.91,0,1,A,18,22,3,3,0,0,14:00,D,2022/2023
2022-09-11,Sassuolo,Udinese,2.7,3.5,2.55,1.66,2.2,0.0,2.0,1.9,1,0,H,7,15,1,3,1,0,14:00,A,2022/2023
2022-09-11,Lazio,Verona,1.57,4.2,5.5,1.66,2.2,-1.0,1.99,1.91,0,0,D,5,23,2,5,0,0,17:00,H,2022/2023
2022-09-11,Juventus,Salernitana,1.4,4.5,8.5,1.8,2.0,-1.25,1.95,1.95,0,2,A,13,15,5,4,2,1,19:45,D,2022/2023
2022-09-12,Empoli,Roma,5.0,3.8,1.7,1.8,2.0,0.75,1.95,1.95,1,1,D,13,12,3,1,1,0,19:45,A,2022/2023
2022-09-16,Salernitana,Lecce,2.25,3.3,3.3,2.06,1.84,-0.25,1.95,1.95,0,1,A,9,11,1,3,0,0,19:45,A,2022/2023
2022-09-17,Bologna,Empoli,2.1,3.5,3.4,1.92,1.98,-0.25,1.85,2.05,0,0,D,11,16,2,3,0,0,14:00,A,2022/2023
2022-09-17,Spezia,Sampdoria,2.7,3.25,2.7,2.07,1.83,0.0,1.94,1.96,1,1,D,17,14,4,5,0,0,17:00,H,2022/2023
2022-09-17,Torino,Sassuolo,1.8,3.75,4.5,1.72,2.1,-0.5,1.77,2.02,0,0,D,13,7,4,1,0,0,19:45,A,2022/2023
2022-09-18,Udinese,Inter,3.8,3.6,1.95,1.66,2.2,0.5,1.98,1.92,1,1,D,11,13,3,4,0,0,11:30,H,2022/2023
2022-09-18,Cremonese,Lazio,4.33,3.75,1.8,1.72,2.1,0.75,1.82,2.08,0,3,A,12,9,1,1,0,0,14:00,A,2022/2023
2022-09-18,Fiorentina,Verona,1.75,3.8,4.5,1.8,2.0,-0.75,2.02,1.88,1,0,H,18,17,4,4,0,0,14:00,H,2022/2023
2022-09-18,Monza,Juventus,4.5,3.6,1.8,1.98,1.92,0.5,2.05,1.85,0,0,D,16,17,2,1,0,1,14:00,H,2022/2023
2022-09-18,Roma,Atalanta,2.05,3.5,3.5,1.87,2.03,-0.5,2.06,1.84,0,1,A,9,19,0,7,0,0,17:00,A,2022/2023
2022-09-18,Milan,Napoli,2.15,3.5,3.3,1.93,1.97,-0.25,1.86,2.04,0,0,D,18,11,4,3,0,0,19:45,A,2022/2023
2022-10-01,Napoli,Torino,1.6,4.0,5.75,1.8,2.0,-1.0,2.06,1.84,3,1,H,4,17,0,2,0,0,14:00,H,2022/2023
2022-10-01,Inter,Roma,2.0,3.5,3.75,1.8,2.0,-0.5,2.07,1.83,1,1,D,15,14,4,3,0,0,17:00,A,2022/2023
2022-10-01,Empoli,Milan,5.5,4.0,1.6,1.86,2.04,1.0,1.82,2.08,0,0,D,15,10,4,2,0,0,19:45,A,2022/2023
2022-10-02,Lazio,Spezia,1.4,5.0,7.5,1.61,2.3,-1.25,1.89,2.01,2,0,H,3,14,0,2,0,0,11:30,H,2022/2023
2022-10-02,Lecce,Cremonese,2.05,3.4,3.75,2.03,1.87,-0.5,2.08,1.82,1,1,D,11,15,3,1,0,0,14:00,D,2022/2023
2022-10-02,Sampdoria,Monza,2.25,3.4,3.2,1.98,1.92,-0.25,2.01,1.89,0,1,A,16,24,2,2,0,0,14:00,A,2022/2023
2022-10-02,Sassuolo,Salernitana,2.0,3.75,3.5,1.66,2.2,-0.5,2.06,1.84,2,0,H,10,8,1,1,0,0,14:00,H,2022/2023
2022-10-02,Atalanta,Fiorentina,1.95,3.5,4.0,1.92,1.98,-0.5,1.97,1.93,0,0,D,12,10,2,2,0,0,17:00,H,2022/2023
2022-10-02,Juventus,Bologna,1.5,4.33,6.5,1.88,2.02,-1.0,1.86,2.04,1,0,H,11,15,0,1,0,0,19:45,H,2022/2023
2022-10-03,Verona,Udinese,3.25,3.4,2.2,1.8,2.0,0.25,1.95,1.95,1,0,H,15,11,3,3,0,0,19:45,A,2022/2023
2022-10-08,Sassuolo,Inter,4.33,4.2,1.7,1.61,2.3,0.75,1.97,1.93,0,1,A,14,17,3,2,0,0,14:00,A,2022/2023
2022-10-08,Milan,Juventus,2.05,3.4,3.6,2.1,1.72,-0.25,1.77,2.02,1,0,H,7,7,2,3,0,0,17:00,H,2022/2023
