Round,Round Name,HomeTeam,AwayTeam,UTC Time,Finished,Started,Cancelled,Awarded,Match Status,FTHG,FTAG
10,10,Genoa,Salernitana,2023-10-27T18:45:00Z,True,True,False,False,Full-Time,1,0
10,10,Sassuolo,Bologna,2023-10-28T13:00:00Z,True,True,False,False,Full-Time,1,1
10,10,Lecce,Torino,2023-10-28T16:00:00Z,True,True,False,False,Full-Time,0,1
10,10,Juventus,Verona,2023-10-28T18:45:00Z,True,True,False,False,Full-Time,1,0
10,10,Cagliari,Frosinone,2023-10-29T11:30:00Z,True,True,False,False,Full-Time,4,3
10,10,Monza,Udinese,2023-10-29T14:00:00Z,True,True,False,False,Full-Time,1,1
10,10,Inter,Roma,2023-10-29T17:00:00Z,True,True,False,False,Full-Time,1,0
10,10,Napoli,Milan,2023-10-29T19:45:00Z,True,True,False,False,Full-Time,2,2
10,10,Empoli,Atalanta,2023-10-30T17:30:00Z,True,True,False,False,Full-Time,0,3
10,10,Lazio,Fiorentina,2023-10-30T19:45:00Z,True,True,False,False,Full-Time,1,0
11,11,Bologna,Lazio,2023-11-03T19:45:00Z,True,True,False,False,Full-Time,1,0
11,11,Salernitana,Napoli,2023-11-04T14:00:00Z,True,True,False,False,Full-Time,0,2
11,11,Atalanta,Inter,2023-11-04T17:00:00Z,True,True,False,False,Full-Time,1,2
11,11,Milan,Udinese,2023-11-04T19:45:00Z,True,True,False,False,Full-Time,0,1
11,11,Verona,Monza,2023-11-05T11:30:00Z,True,True,False,False,Full-Time,1,3
11,11,Cagliari,Genoa,2023-11-05T14:00:00Z,True,True,False,False,Full-Time,2,1
11,11,Roma,Lecce,2023-11-05T17:00:00Z,True,True,False,False,Full-Time,2,1
11,11,Fiorentina,Juventus,2023-11-05T19:45:00Z,True,True,False,False,Full-Time,0,1
11,11,Frosinone,Empoli,2023-11-06T17:30:00Z,True,True,False,False,Full-Time,2,1
11,11,Torino,Sassuolo,2023-11-06T19:45:00Z,True,True,False,False,Full-Time,2,1
12,12,Sassuolo,Salernitana,2023-11-10T17:30:00Z,True,True,False,False,Full-Time,2,2
12,12,Genoa,Verona,2023-11-10T19:45:00Z,True,True,False,False,Full-Time,1,0
12,12,Lecce,Milan,2023-11-11T14:00:00Z,True,True,False,False,Full-Time,2,2
12,12,Juventus,Cagliari,2023-11-11T17:00:00Z,True,True,False,False,Full-Time,2,1
12,12,Monza,Torino,2023-11-11T19:45:00Z,True,True,False,False,Full-Time,1,1
12,12,Napoli,Empoli,2023-11-12T11:30:00Z,True,True,False,False,Full-Time,0,1
12,12,Fiorentina,Bologna,2023-11-12T14:00:00Z,True,True,False,False,Full-Time,2,1
12,12,Udinese,Atalanta,2023-11-12T14:00:00Z,True,True,False,False,Full-Time,1,1
12,12,Lazio,Roma,2023-11-12T17:00:00Z,True,True,False,False,Full-Time,0,0
12,12,Inter,Frosinone,2023-11-12T19:45:00Z,True,True,False,False,Full-Time,2,0
13,13,Salernitana,Lazio,2023-11-25T14:00:00Z,True,True,False,False,Full-Time,2,1
13,13,Atalanta,Napoli,2023-11-25T17:00:00Z,True,True,False,False,Full-Time,1,2
13,13,Milan,Fiorentina,2023-11-25T19:45:00Z,True,True,False,False,Full-Time,1,0
13,13,Cagliari,Monza,2023-11-26T11:30:00Z,True,True,False,False,Full-Time,1,1
13,13,Empoli,Sassuolo,2023-11-26T14:00:00Z,True,True,False,False,Full-Time,3,4
13,13,Frosinone,Genoa,2023-11-26T14:00:00Z,True,True,False,False,Full-Time,2,1
13,13,Roma,Udinese,2023-11-26T17:00:00Z,True,True,False,False,Full-Time,3,1
13,13,Juventus,Inter,2023-11-26T19:45:00Z,True,True,False,False,Full-Time,1,1
13,13,Verona,Lecce,2023-11-27T17:30:00Z,True,True,False,False,Full-Time,2,2
13,13,Bologna,Torino,2023-11-27T19:45:00Z,True,True,False,False,Full-Time,2,0
14,14,Monza,Juventus,2023-12-01T19:45:00Z,True,True,False,False,Full-Time,1,2
14,14,Genoa,Empoli,2023-12-02T14:00:00Z,True,True,False,False,Full-Time,1,1
14,14,Lazio,Cagliari,2023-12-02T17:00:00Z,True,True,False,False,Full-Time,1,0
14,14,Milan,Frosinone,2023-12-02T19:45:00Z,True,True,False,False,Full-Time,3,1
14,14,Lecce,Bologna,2023-12-03T11:30:00Z,True,True,False,False,Full-Time,1,1
14,14,Fiorentina,Salernitana,2023-12-03T14:00:00Z,True,True,False,False,Full-Time,3,0
14,14,Udinese,Verona,2023-12-03T14:00:00Z,True,True,False,False,Full-Time,3,3
14,14,Sassuolo,Roma,2023-12-03T17:00:00Z,True,True,False,False,Full-Time,1,2
14,14,Napoli,Inter,2023-12-03T19:45:00Z,True,True,False,False,Full-Time,0,3
14,14,Torino,Atalanta,2023-12-04T19:45:00Z,True,True,False,False,Full-Time,3,0
15,15,Juventus,Napoli,2023-12-08T19:45:00Z,True,True,False,False,Full-Time,1,0
15,15,Verona,Lazio,2023-12-09T14:00:00Z,True,True,False,False,Full-Time,1,1
15,15,Atalanta,Milan,2023-12-09T17:00:00Z,True,True,False,False,Full-Time,3,2
15,15,Inter,Udinese,2023-12-09T19:45:00Z,True,True,False,False,Full-Time,4,0
15,15,Frosinone,Torino,2023-12-10T11:30:00Z,True,True,False,False,Full-Time,0,0
15,15,Monza,Genoa,2023-12-10T14:00:00Z,True,True,False,False,Full-Time,1,0
15,15,Salernitana,Bologna,2023-12-10T17:00:00Z,True,True,False,False,Full-Time,1,2
15,15,Roma,Fiorentina,2023-12-10T19:45:00Z,True,True,False,False,Full-Time,1,1
15,15,Empoli,Lecce,2023-12-11T17:30:00Z,True,True,False,False,Full-Time,1,1
15,15,Cagliari,Sassuolo,2023-12-11T19:45:00Z,True,True,False,False,Full-Time,2,1
16,16,Genoa,Juventus,2023-12-15T19:45:00Z,True,True,False,False,Full-Time,1,1
16,16,Lecce,Frosinone,2023-12-16T14:00:00Z,True,True,False,False,Full-Time,2,1
16,16,Napoli,Cagliari,2023-12-16T17:30:00Z,True,True,False,False,Full-Time,2,1
16,16,Torino,Empoli,2023-12-16T19:45:00Z,True,True,False,False,Full-Time,1,0
16,16,Milan,Monza,2023-12-17T11:30:00Z,True,True,False,False,Full-Time,3,0
16,16,Fiorentina,Verona,2023-12-17T14:00:00Z,True,True,False,False,Full-Time,1,0
16,16,Udinese,Sassuolo,2023-12-17T14:00:00Z,True,True,False,False,Full-Time,2,2
16,16,Bologna,Roma,2023-12-17T17:00:00Z,True,True,False,False,Full-Time,2,0
16,16,Lazio,Inter,2023-12-17T19:45:00Z,True,True,False,False,Full-Time,0,2
16,16,Atalanta,Salernitana,2023-12-18T19:45:00Z,True,True,False,False,Full-Time,4,1
17,17,Empoli,Lazio,2023-12-22T17:30:00Z,True,True,False,False,Full-Time,0,2
